Phylum,Genus,Sample_ID,Abundance,Group
Outros,Outros,A10,1,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,202,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,161,TEA
Outros,Outros,A10,22,TEA
Outros,Outros,A10,35,TEA
Outros,Outros,A10,9,TEA
Outros,Outros,A10,69,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,35,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,7,TEA
Outros,Outros,A10,7,TEA
Outros,Outros,A10,768,TEA
Outros,Outros,A10,14,TEA
Outros,Outros,A10,21,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,27,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,5,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,14,TEA
Outros,Outros,A10,11,TEA
Outros,Outros,A10,9,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1774,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,17,TEA
Outros,Outros,A10,5,TEA
Outros,Outros,A10,12,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,25,TEA
Outros,Outros,A10,71,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,101,TEA
Outros,Outros,A10,314,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,104,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,343,TEA
Outros,Outros,A10,5,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,13,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,24,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,41,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,81,TEA
Outros,Outros,A10,72,TEA
Outros,Outros,A10,17,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,7,TEA
Outros,Outros,A10,1203,TEA
Outros,Outros,A10,241,TEA
Outros,Outros,A10,11,TEA
Outros,Outros,A10,19,TEA
Outros,Outros,A10,18,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,16,TEA
Outros,Outros,A10,9,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,15,TEA
Outros,Outros,A10,105,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,11,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,35,TEA
Outros,Outros,A10,166,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,332,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,200,TEA
Outros,Outros,A10,173,TEA
Outros,Outros,A10,11,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,81,TEA
Outros,Outros,A10,165,TEA
Outros,Outros,A10,163,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,36,TEA
Outros,Outros,A10,17,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,45,TEA
Outros,Outros,A10,17,TEA
Outros,Outros,A10,34,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,36,TEA
Outros,Outros,A10,75,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,7,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,7,TEA
Outros,Outros,A10,14,TEA
Outros,Outros,A10,21,TEA
Outros,Outros,A10,160,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,52,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,13,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,131,TEA
Outros,Outros,A10,198,TEA
Outros,Outros,A10,11,TEA
Outros,Outros,A10,210,TEA
Outros,Outros,A10,124,TEA
Outros,Outros,A10,51,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,25,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,97,TEA
Outros,Outros,A10,22,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,20,TEA
Outros,Outros,A10,16,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,9,TEA
Outros,Outros,A10,25,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,151,TEA
Outros,Outros,A10,52,TEA
Outros,Outros,A10,180,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,12,TEA
Outros,Outros,A10,812,TEA
Outros,Outros,A10,11,TEA
Outros,Outros,A10,10,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,30,TEA
Outros,Outros,A10,464,TEA
Outros,Outros,A10,25,TEA
Outros,Outros,A10,17,TEA
Outros,Outros,A10,11,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,5,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,58,TEA
Outros,Outros,A10,533,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,10,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,13,TEA
Outros,Outros,A10,14,TEA
Outros,Outros,A10,176,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,127,TEA
Outros,Outros,A10,5,TEA
Outros,Outros,A100,1,TEA
Outros,Outros,A100,485,TEA
Outros,Outros,A100,13,TEA
Outros,Outros,A100,6,TEA
Outros,Outros,A100,3,TEA
Outros,Outros,A100,3,TEA
Outros,Outros,A100,1,TEA
Outros,Outros,A100,1,TEA
Outros,Outros,A100,38,TEA
Outros,Outros,A100,1,TEA
Outros,Outros,A100,113,TEA
Outros,Outros,A100,228,TEA
Outros,Outros,A100,81,TEA
Outros,Outros,A100,2,TEA
Outros,Outros,A100,1,TEA
Outros,Outros,A100,1,TEA
